State,LandCategory,Region,Region or State,Year,Acre_Value,CornPrice
Northern Plains,Cropland,Northern Plains,Region,2008,1280,5.32
Appalachian,Cropland,Appalachian,Region,2008,3730,5.32
Southeast,Cropland,Southeast,Region,2008,4380,5.32
Delta,Cropland,Delta States,Region,2008,1800,5.32
Southern Plains,Cropland,Southern Plains,Region,2008,1390,5.32
Mountain,Cropland,Mountain,Region,2008,1670,5.32
Pacific,Cropland,Pacific,Region,2008,5570,5.32
United States,Cropland,Continental U.S.,Region,2008,2760,5.32
Northeast,Cropland,Northeast,Region,2009,5340,3.75
Lake,Cropland,Lake States,Region,2009,3020,3.75
Corn Belt,Cropland,Corn Belt,Region,2009,3910,3.75
Northern Plains,Cropland,Northern Plains,Region,2009,1300,3.75
Appalachian,Cropland,Appalachian,Region,2009,3600,3.75
Southeast,Cropland,Southeast,Region,2009,3960,3.75
Delta,Cropland,Delta States,Region,2009,1810,3.75
Southern Plains,Cropland,Southern Plains,Region,2009,1380,3.75
Mountain,Cropland,Mountain,Region,2009,1610,3.75
Pacific,Cropland,Pacific,Region,2009,5210,3.75
United States,Cropland,Continental U.S.,Region,2009,2670,3.75
Northeast,Cropland,Northeast,Region,2010,5270,4.24
Lake,Cropland,Lake States,Region,2010,3010,4.24
Corn Belt,Cropland,Corn Belt,Region,2010,4090,4.24
Northern Plains,Cropland,Northern Plains,Region,2010,1410,4.24
Appalachian,Cropland,Appalachian,Region,2010,3490,4.24
Southeast,Cropland,Southeast,Region,2010,3800,4.24
Delta,Cropland,Delta States,Region,2010,1890,4.24
Southern Plains,Cropland,Southern Plains,Region,2010,1400,4.24
Mountain,Cropland,Mountain,Region,2010,1520,4.24
Pacific,Cropland,Pacific,Region,2010,4980,4.24
United States,Cropland,Continental U.S.,Region,2010,2700,4.24
Northeast,Cropland,Northeast,Region,2011,5200,6.79
Lake,Cropland,Lake States,Region,2011,3310,6.79
Corn Belt,Cropland,Corn Belt,Region,2011,4810,6.79
Northern Plains,Cropland,Northern Plains,Region,2011,1730,6.79
Appalachian,Cropland,Appalachian,Region,2011,3440,6.79
Southeast,Cropland,Southeast,Region,2011,3810,6.79
Delta,Cropland,Delta States,Region,2011,2020,6.79
Southern Plains,Cropland,Southern Plains,Region,2011,1450,6.79
Mountain,Cropland,Mountain,Region,2011,1540,6.79
Pacific,Cropland,Pacific,Region,2011,5070,6.79
United States,Cropland,Continental U.S.,Region,2011,2980,6.79
Northeast,Cropland,Northeast,Region,2012,5280,6.88
Lake,Cropland,Lake States,Region,2012,3790,6.88
Corn Belt,Cropland,Corn Belt,Region,2012,5600,6.88
Northern Plains,Cropland,Northern Plains,Region,2012,2210,6.88
Appalachian,Cropland,Appalachian,Region,2012,3550,6.88
Southeast,Cropland,Southeast,Region,2012,3710,6.88
Delta,Cropland,Delta States,Region,2012,2160,6.88
Southern Plains,Cropland,Southern Plains,Region,2012,1500,6.88
Mountain,Cropland,Mountain,Region,2012,1600,6.88
Pacific,Cropland,Pacific,Region,2012,5310,6.88
United States,Cropland,Continental U.S.,Region,2012,3350,6.88
Northeast,Cropland,Northeast,Region,2013,5260,5.81
Lake,Cropland,Lake States,Region,2013,4240,5.81
Corn Belt,Cropland,Corn Belt,Region,2013,6470,5.81
Northern Plains,Cropland,Northern Plains,Region,2013,2720,5.81
Appalachian,Cropland,Appalachian,Region,2013,3690,5.81
Southeast,Cropland,Southeast,Region,2013,3690,5.81
Delta,Cropland,Delta States,Region,2013,2380,5.81
Southern Plains,Cropland,Southern Plains,Region,2013,1480,5.81
Mountain,Cropland,Mountain,Region,2013,1780,5.81
Pacific,Cropland,Pacific,Region,2013,5690,5.81
United States,Cropland,Continental U.S.,Region,2013,3810,5.81
Northeast,Cropland,Northeast,Region,2014,5260,4.17
Lake,Cropland,Lake States,Region,2014,4670,4.17
Corn Belt,Cropland,Corn Belt,Region,2014,7000,4.17
Northern Plains,Cropland,Northern Plains,Region,2014,3090,4.17
Appalachian,Cropland,Appalachian,Region,2014,3780,4.17
Southeast,Cropland,Southeast,Region,2014,3730,4.17
Delta,Cropland,Delta States,Region,2014,2510,4.17
Southern Plains,Cropland,Southern Plains,Region,2014,1630,4.17
Mountain,Cropland,Mountain,Region,2014,1690,4.17
Pacific,Cropland,Pacific,Region,2014,5860,4.17
United States,Cropland,Continental U.S.,Region,2014,4100,4.17
Northeast,Cropland,Northeast,Region,2015,5330,3.8
Lake,Cropland,Lake States,Region,2015,4730,3.8
Corn Belt,Cropland,Corn Belt,Region,2015,6840,3.8
Northern Plains,Cropland,Northern Plains,Region,2015,3130,3.8
Appalachian,Cropland,Appalachian,Region,2015,3830,3.8
Southeast,Cropland,Southeast,Region,2015,3770,3.8
Delta,Cropland,Delta States,Region,2015,2600,3.8
Southern Plains,Cropland,Southern Plains,Region,2015,1770,3.8
Mountain,Cropland,Mountain,Region,2015,1740,3.8
Pacific,Cropland,Pacific,Region,2015,6160,3.8
United States,Cropland,Continental U.S.,Region,2015,4130,3.8
Northeast,Cropland,Northeast,Region,2016,5390,3.6
Lake,Cropland,Lake States,Region,2016,4740,3.6
Corn Belt,Cropland,Corn Belt,Region,2016,6710,3.6
Northern Plains,Cropland,Northern Plains,Region,2016,2960,3.6
Appalachian,Cropland,Appalachian,Region,2016,3840,3.6
Southeast,Cropland,Southeast,Region,2016,3920,3.6
Delta,Cropland,Delta States,Region,2016,2680,3.6
Southern Plains,Cropland,Southern Plains,Region,2016,1820,3.6
Mountain,Cropland,Mountain,Region,2016,1760,3.6
Pacific,Cropland,Pacific,Region,2016,6330,3.6
United States,Cropland,Continental U.S.,Region,2016,4090,3.62
Northeast,Cropland,Northeast,Region,2017,5350,3.62
Lake,Cropland,Lake States,Region,2017,4830,3.62
Corn Belt,Cropland,Corn Belt,Region,2017,6670,3.62
Northern Plains,Cropland,Northern Plains,Region,2017,2830,3.62
Appalachian,Cropland,Appalachian,Region,2017,3890,3.62
Southeast,Cropland,Southeast,Region,2017,3940,3.62
Delta,Cropland,Delta States,Region,2017,2760,3.62
Southern Plains,Cropland,Southern Plains,Region,2017,1930,3.62
Mountain,Cropland,Mountain,Region,2017,1780,3.62
Pacific,Cropland,Pacific,Region,2017,6570,3.62
United States,Cropland,Continental U.S.,Region,2017,4090,3.62
