State,Region,Year,Acre_Value
New Mexico,Mountain,2000,1390
Utah,Mountain,2000,2620
Wyoming,Mountain,2000,830
Pacific,Pacific,2000,3250
California,Pacific,2000,5450
Oregon,Pacific,2000,1550
Washington,Pacific,2000,1420
United States,USA,2000,1460
Northeast,Northeast,2001,2820
Delaware,Northeast,2001,3250
Maryland,Northeast,2001,3700
New Jersey,Northeast,2001,8700
New York,Northeast,2001,1250
Pennsylvania,Northeast,2001,3180
Other States,Northeast,2001,3510
Lake,Lake States,2001,1560
Michigan,Lake States,2001,1980
Minnesota,Lake States,2001,1350
Wisconsin,Lake States,2001,1800
Corn Belt,Corn Belt,2001,2100
Illinois,Corn Belt,2001,2370
Indiana,Corn Belt,2001,2330
Iowa,Corn Belt,2001,1980
Missouri,Corn Belt,2001,1380
Ohio,Corn Belt,2001,2520
Northern Plains,Northern Plains,2001,700
Kansas,Northern Plains,2001,673
Nebraska,Northern Plains,2001,1160
North Dakota,Northern Plains,2001,445
South Dakota,Northern Plains,2001,585
Appalachian,Appalachian,2001,2210
Kentucky,Appalachian,2001,1900
North Carolina,Appalachian,2001,2550
Tennessee,Appalachian,2001,2200
Virginia,Appalachian,2001,2350
West Virginia,Appalachian,2001,1800
Southeast,Southeast,2001,2090
Alabama,Southeast,2001,1530
Florida,Southeast,2001,3720
Georgia,Southeast,2001,1780
South Carolina,Southeast,2001,1450
Delta,Delta States,2001,1120
Arkansas,Delta States,2001,1140
Louisiana,Delta States,2001,1160
Mississippi,Delta States,2001,1040
Southern Plains,Southern Plains,2001,753
Oklahoma,Southern Plains,2001,619
Texas,Southern Plains,2001,805
Mountain,Mountain,2001,1030
Arizona,Mountain,2001,4800
Colorado,Mountain,2001,966
Idaho,Mountain,2001,1530
Montana,Mountain,2001,493
New Mexico,Mountain,2001,1420
Utah,Mountain,2001,2790
Wyoming,Mountain,2001,872
Pacific,Pacific,2001,3310
California,Pacific,2001,5550
Oregon,Pacific,2001,1600
Washington,Pacific,2001,1430
United States,USA,2001,1510
Northeast,Northeast,2002,3210
Delaware,Northeast,2002,3500
Maryland,Northeast,2002,3900
New Jersey,Northeast,2002,9000
New York,Northeast,2002,1320
Pennsylvania,Northeast,2002,3350
Other States,Northeast,2002,5240
Lake,Lake States,2002,1720
Michigan,Lake States,2002,2150
Minnesota,Lake States,2002,1430
Wisconsin,Lake States,2002,2000
Corn Belt,Corn Belt,2002,2180
Illinois,Corn Belt,2002,2430
Indiana,Corn Belt,2002,2440
Iowa,Corn Belt,2002,2040
Missouri,Corn Belt,2002,1480
Ohio,Corn Belt,2002,2630
Northern Plains,Northern Plains,2002,720
Kansas,Northern Plains,2002,679
Nebraska,Northern Plains,2002,1200
North Dakota,Northern Plains,2002,450
South Dakota,Northern Plains,2002,626
Appalachian,Appalachian,2002,2340
Kentucky,Appalachian,2002,2000
North Carolina,Appalachian,2002,2750
Tennessee,Appalachian,2002,2270
Virginia,Appalachian,2002,2550
West Virginia,Appalachian,2002,1920
Southeast,Southeast,2002,2240
Alabama,Southeast,2002,1600
Florida,Southeast,2002,3730
Georgia,Southeast,2002,1970
South Carolina,Southeast,2002,1600
Delta,Delta States,2002,1160
Arkansas,Delta States,2002,1180
Louisiana,Delta States,2002,1190
Mississippi,Delta States,2002,1100
Southern Plains,Southern Plains,2002,808
Oklahoma,Southern Plains,2002,643
Texas,Southern Plains,2002,871
Mountain,Mountain,2002,1120
Arizona,Mountain,2002,5600
Colorado,Mountain,2002,999
Idaho,Mountain,2002,1600
Montana,Mountain,2002,503
New Mexico,Mountain,2002,1440
Utah,Mountain,2002,2880
Wyoming,Mountain,2002,915
Pacific,Pacific,2002,3410
California,Pacific,2002,5730
Oregon,Pacific,2002,1650
Washington,Pacific,2002,1450
United States,USA,2002,1590
Northeast,Northeast,2003,3400
Delaware,Northeast,2003,3850
Maryland,Northeast,2003,4000
New Jersey,Northeast,2003,9300
New York,Northeast,2003,1390
Pennsylvania,Northeast,2003,3500
Other States,Northeast,2003,5920
Lake,Lake States,2003,1860
Michigan,Lake States,2003,2350
Minnesota,Lake States,2003,1520
Wisconsin,Lake States,2003,2200
Corn Belt,Corn Belt,2003,2270
Illinois,Corn Belt,2003,2500
Indiana,Corn Belt,2003,2550
Iowa,Corn Belt,2003,2120
Missouri,Corn Belt,2003,1580
Ohio,Corn Belt,2003,2750
Northern Plains,Northern Plains,2003,737
Kansas,Northern Plains,2003,684
Nebraska,Northern Plains,2003,1210
North Dakota,Northern Plains,2003,460
South Dakota,Northern Plains,2003,681
Appalachian,Appalachian,2003,2490
Kentucky,Appalachian,2003,2100
North Carolina,Appalachian,2003,2950
Tennessee,Appalachian,2003,2350
Virginia,Appalachian,2003,2800
West Virginia,Appalachian,2003,2050
Southeast,Southeast,2003,2350
Alabama,Southeast,2003,1700
Florida,Southeast,2003,3690
Georgia,Southeast,2003,2150
South Carolina,Southeast,2003,1750
Delta,Delta States,2003,1210
Arkansas,Delta States,2003,1220
Louisiana,Delta States,2003,1240
Mississippi,Delta States,2003,1160
Southern Plains,Southern Plains,2003,863
Oklahoma,Southern Plains,2003,668
Texas,Southern Plains,2003,937
Mountain,Mountain,2003,1170
Arizona,Mountain,2003,6000
Colorado,Mountain,2003,1050
Idaho,Mountain,2003,1680
Montana,Mountain,2003,520
New Mexico,Mountain,2003,1470
Utah,Mountain,2003,2960
Wyoming,Mountain,2003,957
Pacific,Pacific,2003,3500
California,Pacific,2003,5920
Oregon,Pacific,2003,1670
Washington,Pacific,2003,1470
United States,USA,2003,1660
Northeast,Northeast,2004,3800
Delaware,Northeast,2004,5700
Maryland,Northeast,2004,5600
New Jersey,Northeast,2004,9900
New York,Northeast,2004,1470
Pennsylvania,Northeast,2004,3700
Other States,Northeast,2004,6230
Lake,Lake States,2004,2030
Michigan,Lake States,2004,2550
Minnesota,Lake States,2004,1690
Wisconsin,Lake States,2004,2350
Corn Belt,Corn Belt,2004,2450
Illinois,Corn Belt,2004,2700
Indiana,Corn Belt,2004,2750
Iowa,Corn Belt,2004,2320
Missouri,Corn Belt,2004,1690
Ohio,Corn Belt,2004,2940
Northern Plains,Northern Plains,2004,783
Kansas,Northern Plains,2004,705
Nebraska,Northern Plains,2004,1290
North Dakota,Northern Plains,2004,490
South Dakota,Northern Plains,2004,747
Appalachian,Appalachian,2004,2670
Kentucky,Appalachian,2004,2230
North Carolina,Appalachian,2004,3150
Tennessee,Appalachian,2004,2420
Virginia,Appalachian,2004,3300
West Virginia,Appalachian,2004,2200
Southeast,Southeast,2004,2460
Alabama,Southeast,2004,1800
Florida,Southeast,2004,3810
Georgia,Southeast,2004,2260
South Carolina,Southeast,2004,1850
Delta,Delta States,2004,1270
Arkansas,Delta States,2004,1290
Louisiana,Delta States,2004,1300
Mississippi,Delta States,2004,1210
Southern Plains,Southern Plains,2004,902
Oklahoma,Southern Plains,2004,697
Texas,Southern Plains,2004,981
Mountain,Mountain,2004,1200
Arizona,Mountain,2004,6400
Colorado,Mountain,2004,1060
Idaho,Mountain,2004,1710
Montana,Mountain,2004,548
New Mexico,Mountain,2004,1450
Utah,Mountain,2004,2900
Wyoming,Mountain,2004,972
Pacific,Pacific,2004,3570
California,Pacific,2004,6020
Oregon,Pacific,2004,1690
Washington,Pacific,2004,1510
United States,USA,2004,1770
Northeast,Northeast,2005,4320
Delaware,Northeast,2005,8100
Maryland,Northeast,2005,7200
New Jersey,Northeast,2005,13000
New York,Northeast,2005,1520
Pennsylvania,Northeast,2005,4030
Other States,Northeast,2005,6770
Lake,Lake States,2005,2230
Michigan,Lake States,2005,2680
Minnesota,Lake States,2005,1920
Wisconsin,Lake States,2005,2540
Corn Belt,Corn Belt,2005,2790
Illinois,Corn Belt,2005,3250
Indiana,Corn Belt,2005,2980
Iowa,Corn Belt,2005,2760
Missouri,Corn Belt,2005,1830
Ohio,Corn Belt,2005,3190
Northern Plains,Northern Plains,2005,890
Kansas,Northern Plains,2005,806
Nebraska,Northern Plains,2005,1420
North Dakota,Northern Plains,2005,550
South Dakota,Northern Plains,2005,876
Appalachian,Appalachian,2005,2940
Kentucky,Appalachian,2005,2450
North Carolina,Appalachian,2005,3350
Tennessee,Appalachian,2005,2590
Virginia,Appalachian,2005,3850
West Virginia,Appalachian,2005,3200
Southeast,Southeast,2005,3330
Alabama,Southeast,2005,2050
Florida,Southeast,2005,6260
Georgia,Southeast,2005,2700
South Carolina,Southeast,2005,2020
Delta,Delta States,2005,1420
Arkansas,Delta States,2005,1440
Louisiana,Delta States,2005,1450
Mississippi,Delta States,2005,1370
Southern Plains,Southern Plains,2005,979
Oklahoma,Southern Plains,2005,845
Texas,Southern Plains,2005,1030
Mountain,Mountain,2005,1230
Arizona,Mountain,2005,9000
Colorado,Mountain,2005,1000
Idaho,Mountain,2005,1810
Montana,Mountain,2005,588
New Mexico,Mountain,2005,1140
Utah,Mountain,2005,2170
Wyoming,Mountain,2005,812
Pacific,Pacific,2005,4380
California,Pacific,2005,7730
Oregon,Pacific,2005,1760
Washington,Pacific,2005,1560
United States,USA,2005,2060
Northeast,Northeast,2006,4970
Delaware,Northeast,2006,10000
Maryland,Northeast,2006,8200
New Jersey,Northeast,2006,14900
New York,Northeast,2006,1800
Pennsylvania,Northeast,2006,4680
Other States,Northeast,2006,7370
Lake,Lake States,2006,2480
Michigan,Lake States,2006,2900
Minnesota,Lake States,2006,2130
Wisconsin,Lake States,2006,2900
Corn Belt,Corn Belt,2006,3090
Illinois,Corn Belt,2006,3640
Indiana,Corn Belt,2006,3250
Iowa,Corn Belt,2006,3100
Missouri,Corn Belt,2006,2010
Ohio,Corn Belt,2006,3470
Northern Plains,Northern Plains,2006,985
Kansas,Northern Plains,2006,854
Nebraska,Northern Plains,2006,1560
North Dakota,Northern Plains,2006,610
South Dakota,Northern Plains,2006,1040
Appalachian,Appalachian,2006,3290
Kentucky,Appalachian,2006,2810
North Carolina,Appalachian,2006,3450
Tennessee,Appalachian,2006,2820
Virginia,Appalachian,2006,4800
West Virginia,Appalachian,2006,3300
Southeast,Southeast,2006,3790
Alabama,Southeast,2006,2300
Florida,Southeast,2006,6540
Georgia,Southeast,2006,3620
South Carolina,Southeast,2006,2110
Delta,Delta States,2006,1540
Arkansas,Delta States,2006,1550
Louisiana,Delta States,2006,1530
Mississippi,Delta States,2006,1530
Southern Plains,Southern Plains,2006,1110
Oklahoma,Southern Plains,2006,889
Texas,Southern Plains,2006,1190
Mountain,Mountain,2006,1520
Arizona,Mountain,2006,10500
Colorado,Mountain,2006,1170
Idaho,Mountain,2006,2450
Montana,Mountain,2006,756
New Mexico,Mountain,2006,1370
Utah,Mountain,2006,2620
Wyoming,Mountain,2006,970
Pacific,Pacific,2006,4690
California,Pacific,2006,8290
Oregon,Pacific,2006,1950
Washington,Pacific,2006,1620
United States,USA,2006,2300
Northeast,Northeast,2007,5350
Delaware,Northeast,2007,10200
Maryland,Northeast,2007,8400
New Jersey,Northeast,2007,16000
New York,Northeast,2007,1900
Pennsylvania,Northeast,2007,5330
Other States,Northeast,2007,7690
Lake,Lake States,2007,2830
Michigan,Lake States,2007,3280
Minnesota,Lake States,2007,2420
Wisconsin,Lake States,2007,3370
Corn Belt,Corn Belt,2007,3530
Illinois,Corn Belt,2007,4150
Indiana,Corn Belt,2007,3640
Iowa,Corn Belt,2007,3600
Missouri,Corn Belt,2007,2330
Ohio,Corn Belt,2007,3820
Northern Plains,Northern Plains,2007,1090
Kansas,Northern Plains,2007,914
Nebraska,Northern Plains,2007,1760
North Dakota,Northern Plains,2007,670
South Dakota,Northern Plains,2007,1180
Appalachian,Appalachian,2007,3570
Kentucky,Appalachian,2007,2930
North Carolina,Appalachian,2007,3720
Tennessee,Appalachian,2007,3200
Virginia,Appalachian,2007,5250
West Virginia,Appalachian,2007,3600
Southeast,Southeast,2007,4180
Alabama,Southeast,2007,2450
Florida,Southeast,2007,6860
Georgia,Southeast,2007,4290
South Carolina,Southeast,2007,2430
Delta,Delta States,2007,1690
Arkansas,Delta States,2007,1680
Louisiana,Delta States,2007,1690
Mississippi,Delta States,2007,1710
Southern Plains,Southern Plains,2007,1250
Oklahoma,Southern Plains,2007,979
Texas,Southern Plains,2007,1360
Mountain,Mountain,2007,1640
Arizona,Mountain,2007,10800
Colorado,Mountain,2007,1270
Idaho,Mountain,2007,2770
Montana,Mountain,2007,784
New Mexico,Mountain,2007,1570
Utah,Mountain,2007,2940
Wyoming,Mountain,2007,1150
Pacific,Pacific,2007,5420
California,Pacific,2007,9700
Oregon,Pacific,2007,2280
Washington,Pacific,2007,1700
United States,USA,2007,2530
Northeast,Northeast,2008,5590
Delaware,Northeast,2008,9800
Maryland,Northeast,2008,7800
New Jersey,Northeast,2008,15600
New York,Northeast,2008,2150
Pennsylvania,Northeast,2008,6000
Other States,Northeast,2008,7930
Lake,Lake States,2008,3080
Michigan,Lake States,2008,3480
Minnesota,Lake States,2008,2700
Wisconsin,Lake States,2008,3600
Corn Belt,Corn Belt,2008,4030
Illinois,Corn Belt,2008,4850
Indiana,Corn Belt,2008,4140
Iowa,Corn Belt,2008,4260
Missouri,Corn Belt,2008,2500
Ohio,Corn Belt,2008,4140
Northern Plains,Northern Plains,2008,1280
Kansas,Northern Plains,2008,1020
Nebraska,Northern Plains,2008,2050
North Dakota,Northern Plains,2008,810
South Dakota,Northern Plains,2008,1400
Appalachian,Appalachian,2008,3730
Kentucky,Appalachian,2008,3100
North Carolina,Appalachian,2008,3850
Tennessee,Appalachian,2008,3400
Virginia,Appalachian,2008,5350
West Virginia,Appalachian,2008,3800
Southeast,Southeast,2008,4380
Alabama,Southeast,2008,2650
Florida,Southeast,2008,6980
Georgia,Southeast,2008,4540
South Carolina,Southeast,2008,2610
Delta,Delta States,2008,1800
Arkansas,Delta States,2008,1770
Louisiana,Delta States,2008,1830
Mississippi,Delta States,2008,1810
Southern Plains,Southern Plains,2008,1390
Oklahoma,Southern Plains,2008,1110
Texas,Southern Plains,2008,1500
Mountain,Mountain,2008,1670
Arizona,Mountain,2008,11500
Colorado,Mountain,2008,1310
Idaho,Mountain,2008,2800
Montana,Mountain,2008,811
New Mexico,Mountain,2008,1630
Utah,Mountain,2008,2700
Wyoming,Mountain,2008,1180
Pacific,Pacific,2008,5570
California,Pacific,2008,9880
Oregon,Pacific,2008,2380
Washington,Pacific,2008,1830
United States,USA,2008,2760
Northeast,Northeast,2009,5340
Delaware,Northeast,2009,8500
Maryland,Northeast,2009,7300
New Jersey,Northeast,2009,14000
New York,Northeast,2009,2200
Pennsylvania,Northeast,2009,5700
Other States,Northeast,2009,7570
Lake,Lake States,2009,3020
Michigan,Lake States,2009,3370
Minnesota,Lake States,2009,2610
Wisconsin,Lake States,2009,3650
Corn Belt,Corn Belt,2009,3910
Illinois,Corn Belt,2009,4670
Indiana,Corn Belt,2009,3950
Iowa,Corn Belt,2009,4050
Missouri,Corn Belt,2009,2540
Ohio,Corn Belt,2009,3900
Northern Plains,Northern Plains,2009,1300
Kansas,Northern Plains,2009,1050
Nebraska,Northern Plains,2009,2180
North Dakota,Northern Plains,2009,800
South Dakota,Northern Plains,2009,1400
Appalachian,Appalachian,2009,3600
Kentucky,Appalachian,2009,3150
North Carolina,Appalachian,2009,3770
Tennessee,Appalachian,2009,3270
Virginia,Appalachian,2009,5000
West Virginia,Appalachian,2009,3500
Southeast,Southeast,2009,3960
Alabama,Southeast,2009,2500
Florida,Southeast,2009,6430
Georgia,Southeast,2009,4050
South Carolina,Southeast,2009,2500
Delta,Delta States,2009,1810
Arkansas,Delta States,2009,1860
Louisiana,Delta States,2009,1740
Mississippi,Delta States,2009,1810
Southern Plains,Southern Plains,2009,1380
Oklahoma,Southern Plains,2009,1130
Texas,Southern Plains,2009,1480
Mountain,Mountain,2009,1610
Arizona,Mountain,2009,10000
Colorado,Mountain,2009,1300
Idaho,Mountain,2009,2610
Montana,Mountain,2009,787
New Mexico,Mountain,2009,1810
Utah,Mountain,2009,2810
Wyoming,Mountain,2009,1177
Pacific,Pacific,2009,5210
California,Pacific,2009,9480
Oregon,Pacific,2009,2340
Washington,Pacific,2009,1790
United States,USA,2009,2670
Northeast,Northeast,2010,5270
Delaware,Northeast,2010,7930
Maryland,Northeast,2010,6790
New Jersey,Northeast,2010,13300
New York,Northeast,2010,2400
Pennsylvania,Northeast,2010,5710
Other States,Northeast,2010,7220
Lake,Lake States,2010,3010
Michigan,Lake States,2010,3160
Minnesota,Lake States,2010,2710
Wisconsin,Lake States,2010,3550
Corn Belt,Corn Belt,2010,4090
Illinois,Corn Belt,2010,4720
Indiana,Corn Belt,2010,4270
Iowa,Corn Belt,2010,4450
Missouri,Corn Belt,2010,2600
Ohio,Corn Belt,2010,3900
Northern Plains,Northern Plains,2010,1410
Kansas,Northern Plains,2010,1110
Nebraska,Northern Plains,2010,2430
North Dakota,Northern Plains,2010,840
South Dakota,Northern Plains,2010,1520
Appalachian,Appalachian,2010,3490
Kentucky,Appalachian,2010,3070
North Carolina,Appalachian,2010,3650
Tennessee,Appalachian,2010,3310
Virginia,Appalachian,2010,4600
West Virginia,Appalachian,2010,3300
Southeast,Southeast,2010,3800
Alabama,Southeast,2010,2630
Florida,Southeast,2010,6550
Georgia,Southeast,2010,3390
South Carolina,Southeast,2010,2560
Delta,Delta States,2010,1890
Arkansas,Delta States,2010,1910
Louisiana,Delta States,2010,1800
Mississippi,Delta States,2010,1950
Southern Plains,Southern Plains,2010,1400
Oklahoma,Southern Plains,2010,1130
Texas,Southern Plains,2010,1510
Mountain,Mountain,2010,1520
Arizona,Mountain,2010,7750
Colorado,Mountain,2010,1290
Idaho,Mountain,2010,2480
Montana,Mountain,2010,779
New Mexico,Mountain,2010,1750
Utah,Mountain,2010,2720
Wyoming,Mountain,2010,1230
Pacific,Pacific,2010,4980
California,Pacific,2010,8960
Oregon,Pacific,2010,2210
Washington,Pacific,2010,1870
United States,USA,2010,2700
Northeast,Northeast,2011,5200
Delaware,Northeast,2011,7840
Maryland,Northeast,2011,6680
New Jersey,Northeast,2011,12900
New York,Northeast,2011,2400
Pennsylvania,Northeast,2011,5630
Other States,Northeast,2011,7170
Lake,Lake States,2011,3310
Michigan,Lake States,2011,3370
Minnesota,Lake States,2011,3070
Wisconsin,Lake States,2011,3780
Corn Belt,Corn Belt,2011,4810
Illinois,Corn Belt,2011,5480
Indiana,Corn Belt,2011,5070
Iowa,Corn Belt,2011,5600
Missouri,Corn Belt,2011,2790
Ohio,Corn Belt,2011,4160
Northern Plains,Northern Plains,2011,1730
Kansas,Northern Plains,2011,1340
Nebraska,Northern Plains,2011,3130
North Dakota,Northern Plains,2011,987
South Dakota,Northern Plains,2011,1790
Appalachian,Appalachian,2011,3440
Kentucky,Appalachian,2011,3080
North Carolina,Appalachian,2011,3610
Tennessee,Appalachian,2011,3270
Virginia,Appalachian,2011,4350
West Virginia,Appalachian,2011,3340
Southeast,Southeast,2011,3810
Alabama,Southeast,2011,2680
Florida,Southeast,2011,6580
Georgia,Southeast,2011,3360
South Carolina,Southeast,2011,2590
Delta,Delta States,2011,2020
Arkansas,Delta States,2011,1990
Louisiana,Delta States,2011,1970
Mississippi,Delta States,2011,2100
Southern Plains,Southern Plains,2011,1450
Oklahoma,Southern Plains,2011,1130
Texas,Southern Plains,2011,1580
Mountain,Mountain,2011,1540
Arizona,Mountain,2011,7610
Colorado,Mountain,2011,1340
Idaho,Mountain,2011,2470
Montana,Mountain,2011,806
New Mexico,Mountain,2011,1740
Utah,Mountain,2011,2690
Wyoming,Mountain,2011,1320
Pacific,Pacific,2011,5070
California,Pacific,2011,9130
Oregon,Pacific,2011,2180
Washington,Pacific,2011,1930
United States,USA,2011,2980
Northeast,Northeast,2012,5280
Delaware,Northeast,2012,7850
Maryland,Northeast,2012,6570
New Jersey,Northeast,2012,12400
New York,Northeast,2012,2600
Pennsylvania,Northeast,2012,5760
Other States,Northeast,2012,7120
Lake,Lake States,2012,3790
Michigan,Lake States,2012,3660
Minnesota,Lake States,2012,3740
Wisconsin,Lake States,2012,4000
Corn Belt,Corn Belt,2012,5600
Illinois,Corn Belt,2012,6300
Indiana,Corn Belt,2012,5840
Iowa,Corn Belt,2012,6810
Missouri,Corn Belt,2012,3120
Ohio,Corn Belt,2012,4640
Northern Plains,Northern Plains,2012,2210
Kansas,Northern Plains,2012,1650
Nebraska,Northern Plains,2012,4190
North Dakota,Northern Plains,2012,1260
South Dakota,Northern Plains,2012,2200
Appalachian,Appalachian,2012,3550
Kentucky,Appalachian,2012,3210
North Carolina,Appalachian,2012,3850
Tennessee,Appalachian,2012,3260
Virginia,Appalachian,2012,4500
West Virginia,Appalachian,2012,3250
Southeast,Southeast,2012,3710
Alabama,Southeast,2012,2750
Florida,Southeast,2012,6420
Georgia,Southeast,2012,3130
South Carolina,Southeast,2012,2620
Delta,Delta States,2012,2160
Arkansas,Delta States,2012,2180
Louisiana,Delta States,2012,2120
Mississippi,Delta States,2012,2180
Southern Plains,Southern Plains,2012,1500
